Município (Cidade/Estado),Status de Regulamentação,"Ato Normativo Local (Tipo, Número e Ano)",Órgão Regulador,Observações
Aracaju (SE),Regulamentação Limitada,Projeto de Lei não especificado (aprovado),Poder Legislativo (Câmara Municipal),Aplicação restrita ao âmbito da Câmara Municipal.
Belém (PA),Regulamentação Limitada,Resolução nº 101/2023,Poder Legislativo (Câmara Municipal),Aplicação restrita ao âmbito da Câmara Municipal.
Belo Horizonte (MG),Não Encontrado,Não aplicável,Não aplicável,"A política de governo digital é conduzida no âmbito estadual, o que pode influenciar a ausência de um ato municipal."
Boa Vista (RR),Não Encontrado,Não aplicável,Não aplicável,"A pesquisa encontrou regulamentações em municípios homônimos, mas não na capital."
Campo Grande (MS),Não Encontrado,Não aplicável,Não aplicável,"A política de governo digital é conduzida no âmbito estadual, o que pode influenciar a ausência de um ato municipal. Regulamentação encontrada em municípios homônimos."
Brasília (DF),Regulamentado,Portaria nº 298/2025,Poder Executivo (Secretaria de Economia),Institui a Estratégia de Governança Digital para toda a estrutura do Governo do Distrito Federal.
Cuiabá (MT),Regulamentação Limitada,Resolução nº 09/2024,Poder Legislativo (Câmara Municipal),Regulamentação da lei no âmbito da Câmara Municipal.
Curitiba (PR),Não Encontrado,Não aplicável,Não aplicável,O município e o estado possuem iniciativas de governo digital ativas. Regulamentação encontrada em municípios homônimos.
Florianópolis (SC),Não Encontrado,Não aplicável,Não aplicável,A pesquisa não encontrou um ato regulamentador específico para a capital.
Goiânia (GO),Regulamentado,Decreto nº 2713/2025,Poder Executivo (Prefeitura),"Regulamentou a lei, apesar da existência de uma lei estadual sobre o tema, demonstrando autonomia municipal."
João Pessoa (PB),Não Encontrado,Não aplicável,Não aplicável,A política de governo digital é conduzida no âmbito estadual. Regulamentação encontrada em municípios homônimos.
Macapá (AP),Regulamentado,Decreto nº 5052/2025,Poder Executivo (Prefeitura),Regulamentação explícita e abrangente da lei federal.
Maceió (AL),Não Encontrado,Não aplicável,Não aplicável,A política de governo digital é conduzida no âmbito estadual.
Manaus (AM),Regulamentação Limitada,Resolução nº 45/2023,Poder Judiciário (Tribunal de Justiça do Amazonas),"Regulamentação da lei no âmbito do Tribunal de Justiça, um órgão de controle."
Natal (RN),Não Encontrado,Não aplicável,Não aplicável,O município possui iniciativas de governo digital ativas. Regulamentação encontrada em municípios homônimos.
Palmas (TO),Não Encontrado,Não aplicável,Não aplicável,A política de governo digital é conduzida no âmbito estadual. Regulamentação encontrada em municípios homônimos.
Porto Alegre (RS),Regulamentado,Decreto nº 21873/2023,Poder Executivo (Prefeitura),Institui o Programa de Governo Digital de Porto Alegre.
Recife (PE),Não Encontrado,Não aplicável,Não aplicável,O município possui uma Secretaria de Transformação Digital. A política é conduzida no âmbito estadual. Regulamentação encontrada em municípios homônimos.
Rio de Janeiro (RJ),Não Encontrado,Não aplicável,Não aplicável,O município e o estado possuem iniciativas de governo digital ativas.
Salvador (BA),Inconclusivo,Não especificado,Poder Executivo (Prefeitura),"O portal de leis do município menciona a regulamentação, mas o ato normativo específico não foi localizado."
São Luís (MA),Regulamentado,Decreto nº 60.416/2024,Poder Executivo (Prefeitura),Regulamentação explícita da lei e instituição do Programa Municipal de Governo Digital.
Teresina (PI),Regulamentação Limitada,Resolução nº 28/2024,Poder de Controle (Tribunal de Contas do Estado),"Regulamentação da lei no âmbito do Tribunal de Contas, um órgão de controle."
Vitória (ES),Não Encontrado,Não aplicável,Não aplicável,A política de governo digital é conduzida no âmbito estadual por um programa específico. Regulamentação encontrada em municípios homônimos.