Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da Lei de Governo Digital?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
Capital,Campo Grande (MS),Inovação cidadã,Sim,https://www.campogrande.ms.gov.br/regulamentacao-da-lei-do-governo-digital/,Decreto Municipal  15627 31/07/2023,,,,,,,,,PASTA,,,,PASTA,Dreyf (MS)
Capital,Cuiabá (MT),Inovação cidadã,Sim,https://www.cuiaba.mt.gov.br/storage/webdisco/2015/07/28/outros/f6efe5f8e686d95b7a7cf7bec1836277.pdf,Lei Municipal 5715 de 27/09/2013,,,,,,,,,PASTA,,,,PASTA,Dreyf (MT)
Capital,Palmas (TO),Inovação cidadã,Sim,https://legislativo.palmas.to.gov.br/media/leis/decreto-2.486-2024-02-06-9-2-2024-16-13-43.pdf,"DECRETO Nº 2.486, DE 6 DE FEVEREIRO DE 2024.",,,,,,,,,PASTA,,,,PASTA,
Capital,Porto Alegre (RS),Rafael Freire,Não,,,https://sicpoa.procempa.com.br/sicpoaweb/?redirect_fragment=%2FconsultaSolicitacoes#/consultaSolicitacoes/visualizaSolicitacao/14611,Sim,1/10/2025,https://sicpoa.procempa.com.br/sicpoaweb/,014611-25-07,,Tema pré-selecionado : Leis,,PASTA,https://drive.google.com/file/d/1R4Dx3crfx7OQOAkNm8gRGBRHuSmdQzAy/view?usp=drive_link,,,PASTA,Anderson Soares
Capital,Recife (PE),Rafael Freire,Não,,,https://transparencia.recife.pe.gov.br/codigos/web/lai/historicoSituacaoProtocolo.php?id=1,Sim,1/10/2025,https://transparencia.recife.pe.gov.br/codigos/web/lai/pedidoInformacaoForm.php,2025014120072010427,9282a774,Controladoria Geral do Município. Tema: Legislação,,PASTA,https://drive.google.com/file/d/1Sr9Tccwo9rs3EgHvykD7S7T2PCErBiU7/view?usp=drive_link,,,PASTA,Anderson Soares
Capital,Rio de Janeiro (RJ),Rafael Freire,Não,,,Problema no servidor,,,https://www.1746.rio/hc/pt-br/requests/2673607,,,,,PASTA,,,,PASTA,
Capital,Salvador (BA),Rafael Freire,Não,,,Problema no servidor,Sim,1/10/2025,https://salvadordigital.salvador.ba.gov.br/esic,2025100203542834,,Não há direcionamento,,PASTA,https://drive.google.com/file/d/1eRH0g_AkRCfSRaqh8MT6O6GOB8YB8_Ig/view?usp=drive_link,,,PASTA,Anderson Soares
Capital,São Luís (MA),Rafael Freire,Sim,https://diariooficial.saoluis.ma.gov.br/uploads/diario_oficial/10001/BHBhmznsULX3jSoQoPm7aPv-WkVnTv8h.pdf,"Nº 60.416, DE 17 DE MAIO DE 2024",,,,,,,,,PASTA,,,,PASTA,
Capital,Teresina (PI),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Vitória (ES),Rafael Freire,Sim,https://diariooficial.vitoria.es.gov.br/ExibirArquivo.aspx?qs=nnmrXIDe5L4hR81FZwDXlD95Q%2fWHOCtXgeCw%2fnRIrFMxQA7S5mwuf0RM3mOCPGtiwqKwtsQd8WTWmli6Dukj2fMuVTFKqHr3%2bQXqmYe13EDQ5RvUr%2bPUtKwU1FWKrauL,"n 22.546, 2023-07-14",,,,,,,,,PASTA,,,,PASTA,
Capital,Belém (PA),João Leônidas,Sim,https://cmb.pa.gov.br/wp-content/uploads/2024/01/Resolucao-101-2023-CMB-Regulamenta-lei-14.129-2021.pdf,"RESOLUÇÃO N° 101, DE 28 DE NOVEMBRO DE 2023",,,,,,,,,PASTA,,,,PASTA,
Capital,Boa Vista (RR),João Leônidas,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,João Pessoa (PB),João Leônidas,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Fortaleza (CE),Kathleen Feitosa,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,São Paulo (SP),Kathleen Feitosa,Sim,https://legislacao.prefeitura.sp.gov.br/leis/decreto-61718-de-18-de-agosto-de-2022,DECRETO Nº 61.718 de 18 de Agosto de 2022,,,,,,,,,PASTA,,,,PASTA,
Capital,Aracaju (SE),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Belo Horizonte (MG),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Curitiba (PR),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Florianópolis (SC),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,Dreyf (SC)
Capital,Goiania (GO),Rafael Freire,Sim,https://www.goiania.go.gov.br/Download/legislacao/diariooficial/2025/do_20250604_000008551.pdf,"Decreto nº 14.129, de 29/03/2021",,,,,,,,,PASTA,,,,PASTA,
Capital,Macapá (AP),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Maceió (AL),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Manaus (AM),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,Dreyf (AM)
Capital,Natal (RN),Rafael Freire,Sim,https://www2.natal.rn.gov.br/_anexos/publicacao/dom/dom_20241101_3d61d6bb5dd0134741986b4f8823ee18.pdf,DECRETO N.º 13.224 DE 24 DE OUTUBRO DE 2024,,,,,,,,,PASTA,,,,PASTA,
Capital,Teresina (PI),Rafael Freire,Não,,,,,,,,,,,,,,,,
Capital,Macapá (AP),Rafael Freire,Não,,,,,,,,,,,,,,,,
Capital,Distrito Federal (DF),Adalvânio,,,,,Sim,24/09/2025,,LAI-019786/2025,,,14/10/2025,PASTA,,,,PASTA,
Estado,Sergipe,Adalvânio,Sim,https://legison.pge.se.gov.br/uploads/atos/32033/DN-1107-2025.pdf,DECRETO Nº 1.107 DE 16 DE ABRIL DE 2025,,,,,,,,,PASTA,,,,PASTA,
Estado,Pará,Adalvânio,Sim,https://lex.pge.pa.gov.br/#/texto-integral/21577,"DECRETO Nº 4.473, DE 13 DE FEVEREIRO DE 2025",,,,,,,,,PASTA,,,,PASTA,
Estado,Minas Gerais,Adalvânio,Sim,https://www.almg.gov.br/legislacao-mineira/texto/DEC/48383/2022/,"Decreto nº 48.383, de 18/03/2022",,,,,,,,,PASTA,,,,PASTA,
Estado,Roraima,Adalvânio,Não,,,,Sim,23/09/2025,,02732202500004203,,CGE,13/10/2025,PASTA,https://drive.google.com/drive/folders/1qBgJ3ZuLa75INrE9iKzvsby2JUXi09WI,,,PASTA,
Estado,Mato Grosso do Sul,Dreyf,,,,,Sim,23/09/2025,,02789202500039035,,OGE,13/10/2025,PASTA,https://drive.google.com/drive/folders/1Q6ufjWjZgvA1v5J01vX5k_XNvCrXtiVT,Sim,30/09/2025,PASTA,https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/1b758e65922af3e904256b220050342a/45bf33bbfaf1b72b04258ae70043fafd?OpenDocument
Estado,Mato Grosso,Dreyf,Sim,https://app1.sefaz.mt.gov.br/sistema/legislacao/legislacaotribut.nsf/5edf9c5193c58088032567580038916b/1e263a60f2c163f604258a6300610ff4?OpenDocument ,INSTRUÇÃO NORMATIVA N° 017/2023/SEPLAG,,,,,,,,,PASTA,,,,PASTA,
Estado,Paraná,Adalvânio,Sim,https://www.transparencia.pr.gov.br/pte/assunto/8/294?origem=2,Decreto 5512 - 16 de Abril de 2024,,,,,,,,,PASTA,,,,PASTA,
Estado,Santa Catarina,Adalvânio,Não,,,,Sim,23/09/2025,https://ouvidoria.sc.gov.br/cidadao/,2025033585,18500,OGE,,PASTA,https://drive.google.com/drive/folders/1BZSGJai1FTi6pbc2JEkLMA-TXEr6XK3d,,,PASTA,
Estado,Ceará,Adalvânio,, https://www.seplag.ce.gov.br/wp-content/uploads/sites/14/2025/05/DECRETO-No36.628-de-16-de-maio-de-2025.pdf,"Decreto nº 36.628, de 16 de maio de 2025",,Sim,23/09/2025,,7469378,beoz,CGE,13/10/2025,PASTA,https://drive.google.com/drive/folders/1imgKO0bXSkqfhZLpqCJo1QHdgyi5TEN9,Sim,23/09/2025,PASTA,
Estado,Goiás,Adalvânio,Sim,https://legisla.casacivil.go.gov.br/pesquisa_legislacao/105154/decreto-10058,"DECRETO Nº 10.058, DE 18 DE MARÇO DE 2022.",,,,,,,,,PASTA,,,,PASTA,
Estado,Paraíba,João Leônidas,Não,,,,Sim,23/09/2025,,00099.002650/2025-1,,CGE,,PASTA,,Sim,30/09/2025,PASTA,"INFORMAMOS QUE O GOVERNO DO ESTADO DA PARAÍBA, APRESENTA AS SEGUINTES LEGISLAÇÕES RELACIONADAS À LEI FEDERAL 14.129/2021, AS QUAIS SEGUEM EM ANEXO. DECRETO N° 46.927 2025 - POLÍTICA DADOS ABERTOS DECRETO Nº 46.439/2025 - DISPÕE SOBRE A POLÍTICA DE GOVERNO DIGITAL E INSTITUI A REDE PBDIGITAL NA ADMINISTRAÇÃO DIRETA E INDIRETA DO PODER EXECUTIVO ESTADUAL; ALTERA O DECRETO Nº 39.815, DE 6 DE DEZEMBRO DE 2019, QUE DISPÕE SOBRE A INSTITUIÇÃO DO GOVERNO DIGITAL NO ÂMBITO DO PODER EXECUTIVO ESTADUAL. DECRETO Nº 41.507/2021 - INSTITUI A ESTRATÉGIA DE GOVERNO DIGITAL - EGD LEI Nº 13.099/2024 - CRIAÇÃO DA SECRETARIA EXECUTIVA DE MODERNIZAÇÃO E TRANSFORMAÇÃO DIGITAL DECRETO Nº 39.815/2019 - DISPÕE SOBRE A INSTITUIÇÃO DO GOVERNO DIGITAL, NO ÂMBITO DO PODER EXECUTIVO ESTADUAL."
Estado,Amapá,Adalvânio,Sim,"http://www.transparencia.ap.gov.br/relatorios/atos/decretos/GAB_GOV_DECRETO_3830_DE_03_DE_NOVEMBRO_DE_2020.pdf

http://www.transparencia.ap.gov.br/relatorios/atos/decretos/GAB_GOV_DECRETO_3830_DE_03_DE_NOVEMBRO_DE_2020.pdf",DECRETO Nº 3830 DE 03 DE NOVEMBRO DE 2020,,,,,,,,,PASTA,,,,PASTA,
Estado,Alagoas,Adalvânio,Sim,https://transparencia.al.gov.br/media/upload/page_201/arquivo5-1745947307.02-lei_no_9.272_de_11_de_junho_de_2024.pdf,"LEI Nº 9.272, DE 11 DE JUNHO DE 2024",,,,,,,,,PASTA,,,,PASTA,
Estado,Amazonas,João Leônidas,Sim,https://transparencia.tce.am.gov.br/wp-content/uploads/2023/08/Portaria-No08-2023-SEGER-GOVERNO-DIGITAL.pdf,-,,,,,,,,,PASTA,,,,PASTA,
Estado,Rio Grande do Norte,João Leônidas,Não,,,,Sim,29/09/2025,https://www.sic.rn.gov.br/Solicitacao/Protocolo?Nome=Joao%20Paulo%20Leonidas%20da%20Silva&Protocolo=2909202520466600&FormaResposta=Email&Descricao=Prezado%2Fa%2C%0D%0A%0D%0ACom%20base%20no%20art.%205%C2%B0%20da%20Constitui%C3%A7%C3%A3o%20Federal%20e%20com%20base%20na%20Lei%20de%20Acesso%20%C3%A0%20Informa%C3%A7%C3%A3o%20%28LAI%20-%20Lei%20n%C2%B0%2012.527%2F2011%29%2C%20solicitamos%20as%20seguintes%20informa%C3%A7%C3%B5es%3A%0D%0A%0D%0AO%20Estado%20do%20Rio%20Grande%20do%20Norte%20regulamentou%20a%20Lei%20do%20Governo%20Digital%20%28LGD%20-%20Lei%20n%C2%B0%2014.129%2F2021%29%3F%0D%0A%0D%0A1.1%29%20Se%20sim%2C%20coloque%20o%28s%29%20link%28s%29%20para%20visualizar%20a%20regulamenta%C3%A7%C3%A3o%20local%20sobre%20a%20Lei%20do%20Governo%20Digital%20%28LGD%20-%20Lei%20n%C2%B0%2014.129%2F2021%29.&Email=joaoleonidas%40hotmail.com,2909202520466600,,,,PASTA,,,,PASTA,
Estado,Tocantins,Adalvânio,Sim,https://servicos.casacivil.to.gov.br/decretos/decreto/6757,Decreto Estadual nº 6757 DE 05 de Março de 2024,,,,,,,,,PASTA,,,,PASTA,
Estado,Rio Grande do Sul,Kathleen,Não,,,,Sim,25/09/2025,https://ouvidoriageral.rs.gov.br/informacoes#skip,13511631/0168,,OGE,,PASTA,https://docs.google.com/document/d/19p3XseNyYF3oTrNG_jLSG4j6ChHMo96dbspBU2oQT58/edit?tab=t.0,,,PASTA,
Estado,Rondônia,Dreyf,,,,,,,,,,,,PASTA,,,,PASTA,
Estado,Pernambuco,adalvânio,Sim,https://legis.alepe.pe.gov.br/texto.aspx?id=77185&tipo=TEXTOORIGINAL,"DECRETO Nº 56.434, DE 15 DE ABRIL DE 2024.",,,,,,,,,PASTA,,,,PASTA,
Estado,Acre,Adalvânio,Sim,https://www.legis.ac.gov.br/detalhar/5536,"DECRETO Nº 11.200, DE 15 DE MARÇO DE 2023",,,,,,,,,PASTA,,,,PASTA,
Estado,Rio de Janeiro,Adalvânio,Sim,https://www.rj.gov.br/transparencia/sites/default/files/arquivos_paginas/Decreto%2048.011%202022_0.pdf,DECRETO Nº 48.011 DE 04 DE ABRIL DE 2022,,,,,,,,,PASTA,,,,PASTA,
Estado,Bahia,Dreyf,,,,,,,,,,,,PASTA,,,,PASTA,
Estado,Maranhão,Adalvânio,Sim,https://www.transparencia.ma.gov.br/storage/anexos-portal/anexo_2025-07-17_15-44-30_53c8211baea0a00ff966ef7b08933b365e5d2561e8a7da10b816a19a63f1bc7f.pdf,"DECRETO Nº 40.154, DE 14 DE JULHO DE 2025.",,,,,,,,,PASTA,,,,PASTA,
Estado,São Paulo,Kathleen,Sim,https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67799-13.07.2023.html,"DECRETO N° 67.799, DE 13 DE JULHO DE 2023",,,,,,,,,PASTA,,,,PASTA,
Estado,Piauí,Rammon,Sim,https://www.etipi.com.br/wp-content/uploads/2024/05/Decreto-21.979-de-13-de-Abril-de-2023.pdf,"DECRETO Nº 21.979, DE 13 DE ABRIL DE 2023",,,,,,,,,PASTA,,,,PASTA,
Estado,Espírito Santo,Adalvânio,Sim,https://ioes.dio.es.gov.br/portal/visualizacoes/html/9331/#e:9331/#m:1468652,"DECRETO Nº 5778-R, DE 24 DE JULHO DE 2024",,,,,,,,,PASTA,,,,PASTA,
Capital,Boa Vista (RR),Rafael Freire,Não,,,,,,,,,,,,,,,,
Capital,João Pessoa (PB),Rafael Freire,Não,,,,,,,,,,,,,,,,
Capital,Porto Velho (RO),Rafael Freire,Sim,https://sapl.portovelho.ro.leg.br/media/sapl/public/normajuridica/2023/25507/decreto_19.173-2023.pdf,"DECRETO Nº 19.173, DE 21 DE JULHO DE 2023.",,,,,,,,,PASTA,,,,PASTA,Dreyf (RO)
Capital,Rio Branco (AC),Rafael Freire,Sim,http://portalcgm.riobranco.ac.gov.br/lai/wp-content/uploads/2015/02/DECRETO-N%C2%BA-1714-2025-Regulamenta-a-Lei-Federal-n%C2%BA-14.129-2021-GOVERNO-DIGITAL.pdf,DECRETO Nº 1.714 DE 29 DE ABRIL DE 2025,,,,,,,,,PASTA,,,,PASTA,